a,a.size,a.eff,b,b.size,b.eff,(a-b).size,(a-b).eff
node-dockerfile-17_alpine3.14-Dockerfile,167941742,0.997186571995901,node-modus-17.7.1-alpine3.14-amd64-1.22.17,167941780,0.997186572632492,38,-6.36591224179028E-10
node-dockerfile-17_alpine3.15-Dockerfile,167922383,0.997185473481519,node-modus-17.7.1-alpine3.15-amd64-1.22.17,167922423,0.997185474151954,40,-6.70435040817097E-10
node-dockerfile-17_bullseye-Dockerfile,991111717,0.991656935481472,node-modus-17.7.1-bullseye-amd64-1.22.17,988923628,0.991638475645765,2188089,1.84598357065857E-05
node-dockerfile-17_bullseye-slim-Dockerfile,241430990,0.983046666875698,node-modus-17.7.1-bullseye-slim-amd64-1.22.17,239242893,0.982891613001854,2188097,0.000155053873843958
node-dockerfile-17_buster-Dockerfile,961119147,0.991280164351985,node-modus-17.7.1-buster-amd64-1.22.17,958931058,0.991260267429987,2188089,1.98969219987744E-05
node-dockerfile-17_buster-slim-Dockerfile,230138702,0.983044742296322,node-modus-17.7.1-buster-slim-amd64-1.22.17,227950603,0.982881988691208,2188099,0.000162753605113974
node-dockerfile-17_stretch-Dockerfile,992542866,0.991371929320784,node-modus-17.7.1-stretch-amd64-1.22.17,990354777,0.991352866468781,2188089,1.90628520030378E-05
node-dockerfile-17_stretch-slim-Dockerfile,216405862,0.981848569333117,node-modus-17.7.1-stretch-slim-amd64-1.22.17,214217772,0.981663164716324,2188090,0.00018540461679295
redis-dockerfile-5_32bit-Dockerfile,116553454,0.96489641568237,redis-modus-5.0.14-32bit,116553920,0.964892952549344,466,3.46313302634904E-06
redis-dockerfile-5_alpine-Dockerfile,32606417,0.89629817345463,redis-modus-5.0.14-alpine,32606460,0.896298310212148,43,-1.36757517976704E-07
redis-dockerfile-5-Dockerfile,109624993,0.962983906416304,redis-modus-5.0.14-,109625459,0.962980232538867,466,3.67387743738234E-06
redis-dockerfile-6.0_alpine-Dockerfile,34587294,0.902236295212918,redis-modus-6.0.16-alpine,34464532,0.901889136344576,122762,0.000347158868342468
redis-dockerfile-6.0-Dockerfile,115584360,0.93047680499334,redis-modus-6.0.16-,111489867,0.963599301809195,4094493,-0.033122496815855
redis-dockerfile-6.2_alpine-Dockerfile,35592646,0.904997734644398,redis-modus-6.2.6-alpine,35413156,0.904517264713713,179490,0.000480469930685512
redis-dockerfile-6.2-Dockerfile,116566520,0.931062589841405,redis-modus-6.2.6-,112419219,0.963900220655331,4147301,-0.0328376308139257
redis-dockerfile-7.0-rc_alpine-Dockerfile,39530479,0.91446139572455,redis-modus-7.0-rc2-alpine,39341092,0.914050555587018,189387,0.000410840137531343
